3.439354,-0.495322,6.556,6.536
222.837321,303.625636,6.486,6.780
225.694474,307.761829,6.395,6.784
228.650262,311.812111,6.304,6.787
231.993320,315.484987,6.470,6.846
235.812361,318.616285,6.933,6.866
240.048606,321.137137,6.788,7.274
244.614426,323.078717,7.202,6.919
249.369038,324.675914,7.028,6.700
254.179144,326.159655,6.965,6.973
259.007574,327.560734,6.974,6.858
263.857250,328.826485,6.917,6.878
268.731227,329.903966,6.741,7.140
273.632468,330.741383,6.699,7.301
278.560992,331.325163,6.788,7.224
283.513254,331.687958,6.950,7.135
288.485493,331.865192,7.279,6.878
303.484481,331.637734,7.243,6.919
318.527930,331.015293,6.890,7.129
333.537985,330.673377,7.021,7.024
348.512039,330.393822,6.879,7.058
363.462430,329.781057,6.646,7.157
378.402053,328.580855,6.769,7.055
393.345987,327.086616,6.891,6.954
408.309834,325.724345,6.837,6.936
423.292605,324.983989,6.765,6.959
428.278488,325.007900,6.954,6.803
433.253857,325.221547,7.234,6.608
438.216096,325.643686,7.140,6.700
443.166847,326.243066,6.918,6.946
448.108711,326.977179,6.876,7.066
453.044290,327.803518,7.014,6.989
457.975269,328.683653,6.898,6.931
462.891414,329.632229,6.779,6.943
467.774152,330.701041,6.781,6.899
472.604738,331.942643,7.042,6.696
477.364424,333.409594,7.155,6.731
482.036584,335.145509,7.065,6.788
486.618453,337.135450,6.933,6.949
491.112850,339.340914,6.757,7.231
495.522607,341.723335,6.970,6.993
499.850612,344.244545,7.106,6.860
504.101513,346.878755,7.047,6.992
508.282012,349.614674,7.045,7.020
512.398930,352.441834,7.074,6.988
516.459087,355.349768,7.063,6.995
520.469305,358.328009,6.979,7.073
532.268526,367.579895,7.326,6.668
543.853823,377.104154,7.394,6.738
555.311529,386.778922,7.443,6.834
574.234835,403.110490,7.525,6.993
585.550980,412.957946,7.574,7.089
596.888160,422.785043,7.623,7.184
608.286241,432.545952,7.672,7.280
619.734614,442.248497,7.721,7.376
631.132867,451.995951,7.770,7.471
642.374118,461.898412,7.819,7.567
646.108757,465.208355,7.835,7.599
649.910380,468.443157,7.851,7.631
653.836191,471.540599,7.510,7.839
657.943396,474.438463,7.740,7.765
662.278341,477.056720,7.664,7.849
666.818963,479.203126,7.756,7.680
671.516634,480.641856,7.621,7.849
676.322665,481.136989,7.414,7.945
681.184804,480.461489,7.716,7.737
685.949435,478.641189,7.717,7.600
690.349441,475.985074,7.676,7.654
694.156786,472.753663,7.506,7.795
